antecedents,consequents,support,confidence,lift
"citrus fruit, other vegetables",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
"other vegetables, tropical fruit",root vegetables,0.012302999491611592,0.34277620396600567,3.144779819035136
beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
"citrus fruit, root vegetables",other vegetables,0.010371123538383325,0.5862068965517241,3.0296084222733612
"root vegetables, tropical fruit",other vegetables,0.012302999491611592,0.5845410628019324,3.020999134344196
"other vegetables, whole milk",root vegetables,0.023182511438739197,0.30978260869565216,2.84208204899416
"curd, whole milk",yogurt,0.010066090493136757,0.3852140077821012,2.761355514968633
"rolls/buns, root vegetables",other vegetables,0.012201321809862735,0.502092050209205,2.5948898128258175
"root vegetables, yogurt",other vegetables,0.012913065582104729,0.5,2.5840777719390435
"tropical fruit, whole milk",yogurt,0.015149974580579562,0.3581730769230769,2.5675161891679745
"whipped/sour cream, yogurt",other vegetables,0.010167768174885612,0.4901960784313725,2.5334095803323953
"other vegetables, whipped/sour cream",yogurt,0.010167768174885612,0.352112676056338,2.524073009485484
"other vegetables, tropical fruit",yogurt,0.012302999491611592,0.34277620396600567,2.4571457478175405
"root vegetables, whole milk",other vegetables,0.023182511438739197,0.47401247401247404,2.4497701954349353
"whipped/sour cream, whole milk",yogurt,0.010879511947127605,0.3375394321766561,2.419606643919397
"citrus fruit, whole milk",yogurt,0.010269445856634469,0.33666666666666667,2.4133503401360543
onions,other vegetables,0.014234875444839857,0.45901639344262296,2.372268118501417
"pork, whole milk",other vegetables,0.010167768174885612,0.45871559633027514,2.370713552237654
"whipped/sour cream, whole milk",other vegetables,0.014641586171835282,0.4542586750788643,2.3476794899635474
curd,yogurt,0.01728520589730554,0.3244274809160305,2.325615360648076
"pip fruit, whole milk",other vegetables,0.013523131672597865,0.44932432432432434,2.3221779977560324
berries,yogurt,0.010574478901881037,0.3180428134556575,2.279847718904075
"curd, yogurt",whole milk,0.010066090493136757,0.5823529411764706,2.27912502048173
root vegetables,other vegetables,0.047381799694966954,0.43470149253731344,2.2466049285887952
"butter, other vegetables",whole milk,0.011489578037620742,0.5736040609137055,2.2448849737709087
cream cheese,yogurt,0.012404677173360447,0.3128205128205128,2.2424123495552064
"root vegetables, tropical fruit",whole milk,0.011997966446365024,0.570048309178744,2.230969009459987
"citrus fruit, whole milk",other vegetables,0.013014743263853584,0.42666666666666664,2.2050796987213173
"root vegetables, yogurt",whole milk,0.014539908490086425,0.562992125984252,2.2033535849801504
"tropical fruit, yogurt",other vegetables,0.012302999491611592,0.4201388888888889,2.171343127809891
"domestic eggs, other vegetables",whole milk,0.012302999491611592,0.5525114155251142,2.1623357627097084
chicken,other vegetables,0.017895271987798677,0.4170616113744075,2.1554392789633723
"butter, whole milk",other vegetables,0.011489578037620742,0.4169741697416974,2.154987367004516
hamburger meat,other vegetables,0.013828164717844434,0.41590214067278286,2.149446954028807
"domestic eggs, whole milk",other vegetables,0.012302999491611592,0.41016949152542376,2.119819731556775
"tropical fruit, whole milk",other vegetables,0.01708185053380783,0.4038461538461539,2.087139738873843
whipped/sour cream,other vegetables,0.02887646161667514,0.40283687943262414,2.081923651718265
"whole milk, yogurt",other vegetables,0.02226741230299949,0.39745916515426494,2.0541307878571704
"whipped/sour cream, yogurt",whole milk,0.010879511947127605,0.5245098039215685,2.0527472827571134
"rolls/buns, root vegetables",whole milk,0.012709710218607015,0.5230125523012552,2.04688756541299
"fruit/vegetable juice, whole milk",other vegetables,0.01047280122013218,0.3931297709923664,2.0317558054177214
"other vegetables, pip fruit",whole milk,0.013523131672597865,0.5175097276264592,2.0253514409893456
"tropical fruit, yogurt",whole milk,0.015149974580579562,0.517361111111111,2.0247698081089442
"other vegetables, yogurt",whole milk,0.02226741230299949,0.5128805620608898,2.0072345116867694
"other vegetables, whipped/sour cream",whole milk,0.014641586171835282,0.5070422535211268,1.9843854211620697
"fruit/vegetable juice, other vegetables",whole milk,0.01047280122013218,0.4975845410628019,1.9473712540201578
butter,whole milk,0.02755465175394001,0.4972477064220184,1.9460530014566455
beef,other vegetables,0.019725470259278087,0.37596899224806196,1.943066231613079
pork,other vegetables,0.021657346212506354,0.37566137566137564,1.9414764212452071
curd,whole milk,0.026131164209456024,0.4904580152671756,1.9194805332879712
butter milk,other vegetables,0.010371123538383325,0.3709090909090909,1.9169158744565995
"other vegetables, root vegetables",whole milk,0.023182511438739197,0.4892703862660944,1.9148325702057454
frozen vegetables,other vegetables,0.017793594306049824,0.3699788583509514,1.912108287904155
butter,other vegetables,0.020030503304524657,0.3614678899082569,1.868122279163272
"other vegetables, tropical fruit",whole milk,0.01708185053380783,0.47592067988668557,1.862586504849006
"citrus fruit, yogurt",whole milk,0.010269445856634469,0.47417840375586856,1.855767847568232
domestic eggs,whole milk,0.029994916115912557,0.47275641025641024,1.8502026640954214
"other vegetables, pork",whole milk,0.010167768174885612,0.4694835680751174,1.837393908483398
"other vegetables, pastry",whole milk,0.010574478901881037,0.46846846846846846,1.8334211648974879
domestic eggs,other vegetables,0.02226741230299949,0.35096153846153844,1.8138238206879824
citrus fruit,other vegetables,0.02887646161667514,0.34889434889434895,1.8031402634660652
"soda, whole milk",other vegetables,0.013929842399593289,0.3477157360406091,1.7970490089119235
cream cheese,other vegetables,0.013726487036095577,0.34615384615384615,1.7889769190347224
pip fruit,other vegetables,0.026131164209456024,0.3454301075268817,1.7852365252374574
frankfurter,rolls/buns,0.019217081850533807,0.3258620689655172,1.7716160576428202
"rolls/buns, yogurt",whole milk,0.015556685307574987,0.45266272189349116,1.7715630202238302
sausage,rolls/buns,0.030604982206405694,0.3257575757575758,1.7710479588589043
tropical fruit,other vegetables,0.035892221657346214,0.34205426356589147,1.7677896385551983
"citrus fruit, other vegetables",whole milk,0.013014743263853584,0.45070422535211263,1.7638981521440618
whipped/sour cream,whole milk,0.032231825114387394,0.449645390070922,1.759754242478121
"sausage, whole milk",other vegetables,0.010167768174885612,0.3401360544217687,1.7578760353326826
root vegetables,whole milk,0.048906964921199794,0.44869402985074625,1.7560309524799398
"rolls/buns, tropical fruit",whole milk,0.010981189628876462,0.4462809917355372,1.7465871682128962
margarine,other vegetables,0.019725470259278087,0.3368055555555555,1.7406634991533834
sugar,whole milk,0.015048296898830707,0.4444444444444445,1.7393995666976168
hamburger meat,whole milk,0.014743263853584139,0.4434250764525994,1.7354101181501451
"rolls/buns, yogurt",other vegetables,0.011489578037620742,0.334319526627219,1.7278153149651596
ham,whole milk,0.011489578037620742,0.44140625,1.7275091399721447
sliced cheese,whole milk,0.010777834265378749,0.4398340248962655,1.7213560027277242
"bottled water, other vegetables",whole milk,0.010777834265378749,0.4344262295081967,1.7001917895794327
white bread,other vegetables,0.013726487036095577,0.32608695652173914,1.6852681121341588
curd,other vegetables,0.017183528215556684,0.32251908396946566,1.6668287918232763
"other vegetables, soda",whole milk,0.013929842399593289,0.42546583850931674,1.6651239640824234
frozen vegetables,whole milk,0.02043721403152008,0.4249471458773784,1.6630939831691272
sugar,other vegetables,0.010777834265378749,0.3183183183183183,1.6451185815347664
"other vegetables, rolls/buns",whole milk,0.017895271987798677,0.4200477326968974,1.6439193995519241
"pastry, whole milk",other vegetables,0.010574478901881037,0.3180428134556575,1.6436947295514406
"rolls/buns, whole milk",other vegetables,0.017895271987798677,0.31597845601436264,1.6330258091966665
cream cheese,whole milk,0.016471784443314694,0.41538461538461546,1.6256695950289266
butter milk,whole milk,0.011591255719369599,0.41454545454545455,1.622385414028868
"bottled water, whole milk",other vegetables,0.010777834265378749,0.3136094674556213,1.6207825078434237
margarine,whole milk,0.024199288256227757,0.4131944444444444,1.6170980346641903
dessert,other vegetables,0.011591255719369599,0.31232876712328766,1.6141636493208271
yogurt,other vegetables,0.04341637010676157,0.3112244897959184,1.6084565723294046
hard cheese,whole milk,0.010066090493136757,0.4107883817427386,1.6076815497174028
chicken,whole milk,0.01759023894255211,0.4099526066350711,1.6044106192821026
berries,other vegetables,0.010269445856634469,0.308868501529052,1.5962804585066874
white bread,whole milk,0.01708185053380783,0.4057971014492754,1.5881474304630414
beef,whole milk,0.02125063548551093,0.4050387596899225,1.5851795469758803
tropical fruit,whole milk,0.04229791560752415,0.40310077519379844,1.5775949558420244
oil,whole milk,0.01128622267412303,0.40217391304347827,1.57396754269105
yogurt,whole milk,0.05602440264361973,0.40160349854227406,1.5717351405345266
pip fruit,whole milk,0.030096593797661414,0.3978494623655914,1.5570431605115762
onions,whole milk,0.012099644128113879,0.3901639344262295,1.5269647015845471
hygiene articles,whole milk,0.012811387900355872,0.38888888888888884,1.5219746208604144
brown bread,whole milk,0.02521606507371632,0.3887147335423197,1.5212930379581036
other vegetables,whole milk,0.07483477376715811,0.38675775091960063,1.5136340948246207
pork,whole milk,0.022165734621250637,0.3844797178130512,1.504718672778097
"soda, yogurt",whole milk,0.01047280122013218,0.38289962825278806,1.4985347568110507
"other vegetables, sausage",whole milk,0.010167768174885612,0.3773584905660377,1.4768486887055234
napkins,whole milk,0.019725470259278087,0.37669902912621356,1.4742677880844848
pastry,whole milk,0.033248601931875954,0.3737142857142857,1.4625865499403103
dessert,whole milk,0.013726487036095577,0.3698630136986301,1.4475140229709618
citrus fruit,whole milk,0.030503304524656837,0.36855036855036855,1.4423767905662055
fruit/vegetable juice,whole milk,0.026639552618200304,0.36849507735583686,1.4421604002366317
long life bakery product,whole milk,0.013523131672597865,0.36141304347826086,1.414443805256146
berries,whole milk,0.01179461108286731,0.3547400611620795,1.3883280945201162
frankfurter,whole milk,0.020538891713268937,0.3482758620689655,1.3630294880414944
newspapers,whole milk,0.027351296390442297,0.34267515923566877,1.3411103028582578
chocolate,whole milk,0.016675139806812404,0.3360655737704918,1.3152427051463536
waffles,whole milk,0.012709710218607015,0.3306878306878307,1.294196106173822
coffee,whole milk,0.018708693441789527,0.3222416812609457,1.261140841703701
sausage,whole milk,0.0298932384341637,0.3181818181818182,1.2452519625221574
bottled water,whole milk,0.03436705643111337,0.31094756209751606,1.2169396232507244
rolls/buns,whole milk,0.05663446873411286,0.30790491984521834,1.2050317893663836
